PERMCO,GVKEY,companyid,score,preferred,duplicate
5780,003504,7836,1,1,0
5812,012688,6018,1,1,0
5814,001382,1987,3,1,1
5814,001382,31942,6,0,1
5817,021686,675,2,1,0
5828,001562,1933,2,1,0
5835,001896,1236180,10,1,0
5837,011508,33514,1,1,0
5838,005961,1691139,6,1,0
5843,006089,77764,6,1,0
5848,004807,12147,1,1,0
5849,016243,33102,4,0,1
5849,013888,2344850,1,1,1
5855,009444,856440,6,1,0
5856,020019,8462,2,1,0
5857,003707,9675,5,1,0
5860,139201,14353,1,1,0
5866,007124,19880,1,1,0
5869,014252,33234,1,1,0
5872,002226,4336,6,1,0
5876,011164,1224988,9,1,0
5890,005681,15003,5,1,0
5902,003824,8849,1,1,0
5908,011896,151,1,1,0
5925,006034,16341,1,1,0
5926,017245,31416,1,1,0
5929,005205,13516,1,1,0
5932,012503,10914,6,1,0
5935,003184,7320,6,1,0
5941,008148,23149,1,1,0
5947,009023,25982,6,1,0
5949,003116,22600,1,1,0
5957,004072,9617,3,1,0
5961,006922,21234,2,1,1
5961,006922,1586732,6,0,1
5974,011099,32289,1,1,0
5977,002163,4013,1,1,0
5980,007691,21513,1,1,0
5981,017266,31849,3,1,0
5983,003486,1902897,10,1,0
5995,006529,19233,2,1,0
6005,001821,1144127,6,1,0
6021,008017,22677,1,1,0
6025,007914,22316,6,1,0
6050,002246,4351,2,1,0
6051,010840,31727,1,1,0
6054,009916,28729,1,1,0
6058,002484,5338,1,1,0
6059,001183,21529,5,1,0
6066,006552,18352,6,1,0
6075,010266,30040,2,1,0
6077,007192,16208,5,1,0
6080,005165,13266,1,1,0
6081,009367,2494,6,1,0
6082,006677,18728,5,1,0
6093,006416,17858,1,1,0
6096,003103,7040,6,1,0
6104,008229,23542,2,1,0
6106,012824,19030,2,1,0
6115,001693,2361,9,1,0
6120,005432,14202,3,1,0
6121,007278,20379,1,1,0
6130,003048,6882,1,1,0
6137,008898,25808,1,1,0
6142,006021,16131,6,1,0
6143,006169,16923,1,1,0
6144,009969,29000,1,1,0
6149,011511,33516,1,1,0
6169,008484,817262,9,1,0
6170,016998,572700,9,1,0
6173,007741,21597,3,1,0
6175,012855,22310,1,1,0
6181,010231,29775,9,1,0
6185,011770,29263,1,1,0
6193,002903,6440,3,1,0
6200,012719,4897,6,1,0
6213,003807,8799,1,1,0
6220,006722,18851,1,1,0
6244,008864,2123,1,1,0
6246,016843,129,1,1,0
6249,003011,6728,1,1,0
6252,004415,10826,3,1,0
6257,006033,16335,6,1,0
6262,002751,5811,1,1,0
6267,012757,24331,1,1,0
6276,009154,26307,6,1,0
6278,010631,30993,1,1,0
6281,015199,222,1,1,0
6282,001902,5897,5,1,1
6282,001902,1147470,5,1,1
6287,011135,25791,6,1,0
6291,006194,17077,1,1,0
6295,003087,7004,1,1,1
6295,003087,941453,6,0,1
6300,012834,5769,5,1,0
6301,001038,1728,3,1,0
6304,003062,6877,1,1,0
6324,001866,3032,6,1,0
6331,014112,12465,6,0,1
6331,014112,3374332,1,1,1
6333,008402,23945,1,1,0
6342,003647,8415,1,1,0
6346,004645,27211,1,1,0
6355,001539,1901,2,1,0
6357,004782,12144,10,1,0
6362,002602,5485,1,1,0
6370,005704,15060,5,1,0
6387,010439,2893,3,1,0
6389,010364,1653123,1,1,0
6391,003278,6237,1,1,0
6393,006196,2240,1,1,0
6407,004885,12463,1,1,0
6412,020430,28243,2,1,1
6412,010121,2065334,6,0,1
6413,003584,8155,3,1,0
6438,002222,550617,3,1,0
6443,007132,19847,1,1,0
6463,009340,15436,3,1,0
6473,012717,7864,6,0,1
6473,012717,2305769,1,1,1
6478,005962,15601,6,1,0
6496,030146,16885,2,1,1
6496,006239,17381,3,0,1
6496,006239,1937621,6,0,1
6498,004348,622680,9,1,0
6503,006557,18371,5,1,0
6507,004274,10351,2,1,0
6512,004162,11441,2,1,0
6515,002807,5971,1,1,0
